2021/12/13 15:48:10 [error] 11904#4572: *1 CreateFile() "C:\Users\matth\OneDrive\Documents\Efrei\M2\Web 3D\nginx-1.16.1/html/favicon.ico" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2021/12/13 15:48:14 [error] 11904#4572: *1 CreateFile() "C:\Users\matth\OneDrive\Documents\Efrei\M2\Web 3D\nginx-1.16.1/html/tp/tp00" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /tp/tp00 HTTP/1.1", host: "localhost"
2021/12/13 15:48:18 [error] 11904#4572: *1 CreateFile() "C:\Users\matth\OneDrive\Documents\Efrei\M2\Web 3D\nginx-1.16.1/html/x3dom-1.8.2/x3dom.js" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: localhost, request: "GET /x3dom-1.8.2/x3dom.js HTTP/1.1", host: "localhost", referrer: "http://localhost/tp/tp00.html"
2021/12/13 15:48:18 [error] 11904#4572: *1 CreateFile() "C:\Users\matth\OneDrive\Documents\Efrei\M2\Web 3D\nginx-1.16.1/html/x3dom-1.8.2/x3dom.css" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: localhost, request: "GET /x3dom-1.8.2/x3dom.css HTTP/1.1", host: "localhost", referrer: "http://localhost/tp/tp00.html"
2021/12/13 15:49:24 [error] 11904#4572: *4 CreateFile() "C:\Users\matth\OneDrive\Documents\Efrei\M2\Web 3D\nginx-1.16.1/html/x3dom-1.8.2/x3dom.js" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: localhost, request: "GET /x3dom-1.8.2/x3dom.js HTTP/1.1", host: "localhost", referrer: "http://localhost/tp/tp00.html"
2021/12/13 15:49:24 [error] 11904#4572: *4 CreateFile() "C:\Users\matth\OneDrive\Documents\Efrei\M2\Web 3D\nginx-1.16.1/html/x3dom-1.8.2/x3dom.css" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: localhost, request: "GET /x3dom-1.8.2/x3dom.css HTTP/1.1", host: "localhost", referrer: "http://localhost/tp/tp00.html"
2021/12/13 15:49:24 [error] 11904#4572: *4 CreateFile() "C:\Users\matth\OneDrive\Documents\Efrei\M2\Web 3D\nginx-1.16.1/html/x3dom-1.8.2/x3dom.css" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: localhost, request: "GET /x3dom-1.8.2/x3dom.css HTTP/1.1", host: "localhost", referrer: "http://localhost/tp/tp00.html"
2021/12/13 15:49:39 [error] 11904#4572: *4 CreateFile() "C:\Users\matth\OneDrive\Documents\Efrei\M2\Web 3D\nginx-1.16.1/html/x3dom-1.8.2/x3dom.js" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: localhost, request: "GET /x3dom-1.8.2/x3dom.js HTTP/1.1", host: "localhost", referrer: "http://localhost/tp/tp00.html"
2021/12/13 15:49:39 [error] 11904#4572: *5 CreateFile() "C:\Users\matth\OneDrive\Documents\Efrei\M2\Web 3D\nginx-1.16.1/html/x3dom-1.8.2/x3dom.css" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: localhost, request: "GET /x3dom-1.8.2/x3dom.css HTTP/1.1", host: "localhost", referrer: "http://localhost/tp/tp00.html"
2021/12/13 15:49:39 [error] 11904#4572: *5 CreateFile() "C:\Users\matth\OneDrive\Documents\Efrei\M2\Web 3D\nginx-1.16.1/html/x3dom-1.8.2/x3dom.css" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: localhost, request: "GET /x3dom-1.8.2/x3dom.css HTTP/1.1", host: "localhost", referrer: "http://localhost/tp/tp00.html"
2021/12/13 15:51:18 [error] 11904#4572: *7 CreateFile() "C:\Users\matth\OneDrive\Documents\Efrei\M2\Web 3D\nginx-1.16.1/html/x3dom-1.8.2/x3dom.js" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: localhost, request: "GET /x3dom-1.8.2/x3dom.js HTTP/1.1", host: "localhost", referrer: "http://localhost/tp/tp00.html"
2021/12/13 15:51:18 [error] 11904#4572: *7 CreateFile() "C:\Users\matth\OneDrive\Documents\Efrei\M2\Web 3D\nginx-1.16.1/html/x3dom-1.8.2/x3dom.css" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: localhost, request: "GET /x3dom-1.8.2/x3dom.css HTTP/1.1", host: "localhost", referrer: "http://localhost/tp/tp00.html"
2021/12/13 15:51:18 [error] 11904#4572: *7 CreateFile() "C:\Users\matth\OneDrive\Documents\Efrei\M2\Web 3D\nginx-1.16.1/html/x3dom-1.8.2/x3dom.css" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: localhost, request: "GET /x3dom-1.8.2/x3dom.css HTTP/1.1", host: "localhost", referrer: "http://localhost/tp/tp00.html"
